route,date,daytype,rides,day,WD_WE_LW
4,08/13/2013,W,21266,Tuesday,WD
3,08/14/2013,W,20737,Wednesday,WD
4,08/14/2013,W,21698,Wednesday,WD
3,08/15/2013,W,20988,Thursday,WD
4,08/15/2013,W,22081,Thursday,WD
3,08/16/2013,W,20848,Friday,WD
4,08/16/2013,W,22835,Friday,WD
3,08/17/2013,A,15972,Saturday,WE
4,08/17/2013,A,15761,Saturday,WE
3,08/18/2013,U,10124,Sunday,WE
4,08/18/2013,U,12432,Sunday,WE
3,08/19/2013,W,19608,Monday,WD
4,08/19/2013,W,21344,Monday,WD
3,08/20/2013,W,19376,Tuesday,WD
4,08/20/2013,W,21102,Tuesday,WD
3,08/21/2013,W,20135,Wednesday,WD
4,08/21/2013,W,22065,Wednesday,WD
3,08/22/2013,W,18109,Thursday,WD
4,08/22/2013,W,21291,Thursday,WD
3,08/23/2013,W,20292,Friday,WD
4,08/23/2013,W,24615,Friday,WD
3,08/24/2013,A,14748,Saturday,WE
4,08/24/2013,A,18196,Saturday,WE
3,08/25/2013,U,10705,Sunday,WE
4,08/25/2013,U,11684,Sunday,WE
3,08/26/2013,W,22343,Monday,WD
4,08/26/2013,W,24886,Monday,WD
3,08/27/2013,W,22989,Tuesday,WD
4,08/27/2013,W,24624,Tuesday,WD
3,08/28/2013,W,23295,Wednesday,WD
4,08/28/2013,W,24944,Wednesday,WD
3,08/29/2013,W,23063,Thursday,WD
4,08/29/2013,W,25636,Thursday,WD
3,08/30/2013,W,22512,Friday,WD
4,08/30/2013,W,27942,Friday,WD
3,08/31/2013,A,14886,Saturday,LW
4,08/31/2013,A,14696,Saturday,LW
3,09/01/2013,U,12788,Sunday,LW
4,09/01/2013,U,13494,Sunday,LW
3,09/02/2013,U,10281,Monday,LW
4,09/02/2013,U,11840,Monday,LW
3,09/03/2013,W,24068,Tuesday,WD
4,09/03/2013,W,27853,Tuesday,WD
3,09/04/2013,W,23923,Wednesday,WD
4,09/04/2013,W,28034,Wednesday,WD
3,09/05/2013,W,23690,Thursday,WD
4,09/05/2013,W,28031,Thursday,WD
3,09/06/2013,W,24044,Friday,WD
4,09/06/2013,W,25611,Friday,WD
3,09/07/2013,A,14762,Saturday,WE
4,09/07/2013,A,15894,Saturday,WE
3,09/08/2013,U,10383,Sunday,WE
4,09/08/2013,U,11613,Sunday,WE
3,09/09/2013,W,23173,Monday,WD
4,09/09/2013,W,26479,Monday,WD
3,09/10/2013,W,23448,Tuesday,WD
4,09/10/2013,W,26278,Tuesday,WD
3,09/11/2013,W,24606,Wednesday,WD
